,Car Title,Year,Price,Km,Brand,Model,Version,Tipo,Motor,Potencia,Link,Description
0,Peugeot 207 Compact 1.4,2010,US$ 9.450,85.000 km,Peugeot,207,207 compact,Nafta,5,,https://auto.mercadolibre.com.uy/MLU-457743368-peugeot-207-compact-14-_JM,"# PEUGEOT 207 COMPACT 1.4 ## año 2010# 86mil km#4 cubiertas nuevas# radio con pantalla o con la original la que guste con comandos al volante#Al dia, ami nombre y listo para transferir # El auto cuenta con aire acondicionado,direccion hidraulica, vidrios electricos,ABS, doble airbag, distintas posiciones de volante y asiento,sensor de lluvia ,comando al volante de la radio,
"
1,Peugeot 207 Full Frances 2013 Impecable,2013,US$ 10.300,100.000 km,Peugeot,207,1.4,Nafta,4,,https://auto.mercadolibre.com.uy/MLU-457128661-peugeot-207-full-frances-2013-impecable-_JM,"207 frances full 2 dueños service oficiales impecable estado. Acepto permuta financio 7 mil y cuotas. Precio final 10900
"
2,Peugeot 207 1.4 Confort,2011,US$ 10.650,58.000 km,Peugeot,207,1.4 Confort,Nafta,5,,https://auto.mercadolibre.com.uy/MLU-457378236-peugeot-207-14-confort-_JM,"SERVICIO OFICIAL CON FICHA CUBIERTAS NUEVAS .PATENTE ANUAL PAGA
"
3,Peugeot 207 1.4 Xr,2010,US$ 8.350,133.000 km,Peugeot,207,1.4 Xr,Hatchback,1.4,75hp,https://auto.mercadolibre.com.uy/MLU-457616768-peugeot-207-14-xr-2010-_JM,"Peugeot 207 xr CompactCon aire acondicionadoDireccion hidraulica2 vidrios electricosBloqueo de puertasRadio con CdPuedo financiar hasta un 40%Muy lindo
"
4,Peugeot 207 Compact 1.4 Frances,2011,US$ 9.900,119.000 km,Peugeot,207,207 Compact 1.4 Francés,Manual,Blanco,Nafta,https://auto.mercadolibre.com.uy/MLU-457428636-peugeot-207-compact-14-frances-_JM,"Peugeot 207 Compact 1.4 Francés. Año 2011. Excelente estado. * Aire acondicionado * Dirección hidráulica * Vidrios eléctricos en asientos delanteros * Alarma y cierre centralizado * ABS  Correas cambiadas el año pasado. Batería cambiada hace 3 meses y le quedan 15 meses de garantía. Próximo service (Aceite y filtros): 125.000 km.  Costo seguro total: $19.903 El valor de la patente 2018 para el vehículo es: $ 14.604 sin bonificación. El valor por el pago total de una vez dentro del plazo de la primera cuota es: $ 11.683Posible permuta.
"
5,Peugeot 207 1.9 Sedan Xrd,2008,US$ 8.000,265.000 km,Peugeot,207,1.9 Sedan Xrd,Sedán,1.9,70hp,https://auto.mercadolibre.com.uy/MLU-457987021-peugeot-207-19-sedan-xrd-2008-_JM,"Peugeot Gasolero. Muy buen estado. Super económico.
"
6,Peugeot 207 1.4 Xs,2013,US$ 8.900,72.000 km,Peugeot,207,1.4 Active 75cv,Hatchback,1.4,75hp,https://auto.mercadolibre.com.uy/MLU-457844507-peugeot-207-frances-4-airbags-2013-permuto-y-financionuevo-_JM,"CONTADO 10200!!!Peugeot 207 francés 4 airbags,extra full!!,nuevo a toda prueba!!Financio entrega 6500 dólares y es tanto en pesos como en dólaresMontevideo y Maldonado
"
7,Peugeot 207 1.4 Active 75cv,2009,US$ 10.200,100.000 km,Peugeot,207,1.4 Xs,Hatchback,1.4,75hp,https://auto.mercadolibre.com.uy/MLU-456005757-peugeot-207-14-xs-vendo-por-viaje-_JM,"¡Vendo urgente por viaje! (No permutas)5 puertas, motor 1.4. Casi 100.000 kms., service hecho cada 10.000 kms.En ruta da entre 16 y 17 por litro; en ciudad poco más de 10 por litro.El auto está en perfectas condiciones para un auto de casi 100.000 kilómetros con detalles mínimos de chapa y/o pintura (lo que se ve en las fotos); pero nunca chocó ni tuvo ningún problema mecánico importante. Todo esto puede, obviamente, ser corroborado por un mecánico.
"
8,Peugeot 207 Permuto Financio,2011,US$ 9.800,140.000 km,Peugeot,207,1.4 Sedan Xr,Sedán,1.4,75hp,https://auto.mercadolibre.com.uy/MLU-458038480-peugeot-207-14-sedan-compact-one-line-full099036749-_JM,/n
9,Peugeot 207 1.4 Sedan Xr,2013,US$ 9.400,180.300 km,Peugeot,207,Peugeot Compact 207,Coupé,1.6,150hp,https://auto.mercadolibre.com.uy/MLU-456818187-peugeot-207-peugeot-compact-207-_JM,/n
10,Peugeot 207 Peugeot Compact 207,2008,US$ 10.900,98.500 km,Peugeot,207,Permuto Financio,Coupé,1.6,120hp,https://auto.mercadolibre.com.uy/MLU-458132179-peugeot-207-compact-image-extrafull-techo-permuto-finanancio-_JM,"2do dueño SIEMPRE ATENDIDO EN SADAR
"
